array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
56.0,234.0,56.0,19.0,156.0,123.0,125.0,9
71.0,47.0,159.0,243.0,159.0,11.0,190.0,74
199.0,221.0,52.0,22.0,207.0,133.0,221.0,160
51.0,31.0,237.0,251.0,52.0,3.0,90.0,249
47.0,65.0,50.0,233.0,198.0,85.0,44.0,22
21.0,91.0,113.0,103.0,19.0,204.0,165.0,227
226.0,247.0,1.0,85.0,112.0,51.0,155.0,161
138.0,155.0,149.0,206.0,33.0,176.0,227.0,235
24.0,169.0,196.0,110.0,155.0,191.0,95.0,60
172.0,89.0,154.0,199.0,155.0,83.0,148.0,2
101.0,112.0,161.0,211.0,168.0,231.0,56.0,2
28.0,155.0,140.0,111.0,6.0,54.0,184.0,35
23.0,90.0,231.0,4.0,246.0,65.0,238.0,73
245.0,170.0,34.0,92.0,175.0,20.0,117.0,14
172.0,202.0,201.0,120.0,27.0,242.0,114.0,13
154.0,174.0,100.0,148.0,55.0,20.0,75.0,12
199.0,210.0,178.0,89.0,137.0,231.0,108.0,111
103.0,181.0,196.0,216.0,85.0,47.0,105.0,16
10.0,76.0,251.0,99.0,89.0,239.0,62.0,199
46.0,30.0,191.0,22.0,56.0,155.0,45.0,243
178.0,79.0,93.0,61.0,113.0,238.0,8.0,18
19.0,243.0,198.0,151.0,87.0,115.0,181.0,58
65.0,134.0,18.0,203.0,91.0,50.0,227.0,27
163.0,33.0,92.0,226.0,4.0,58.0,75.0,57
228.0,102.0,221.0,103.0,10.0,209.0,234.0,247
35.0,9.0,185.0,17.0,164.0,94.0,107.0,57
121.0,215.0,98.0,94.0,186.0,18.0,85.0,68
54.0,85.0,212.0,52.0,3.0,170.0,80.0,194
214.0,90.0,233.0,165.0,163.0,90.0,118.0,246
218.0,77.0,30.0,211.0,74.0,119.0,87.0,150
13.0,107.0,190.0,90.0,15.0,33.0,9.0,45
249.0,91.0,199.0,187.0,81.0,124.0,254.0,20
161.0,52.0,214.0,155.0,28.0,117.0,69.0,241
115.0,235.0,57.0,247.0,2.0,143.0,150.0,91
59.0,132.0,14.0,107.0,189.0,148.0,166.0,169
41.0,218.0,65.0,66.0,190.0,135.0,211.0,140
144.0,157.0,168.0,240.0,114.0,37.0,108.0,149
170.0,77.0,76.0,199.0,194.0,86.0,61.0,246
108.0,119.0,207.0,21.0,230.0,228.0,82.0,120
4.0,188.0,121.0,133.0,89.0,234.0,186.0,51
196.0,102.0,38.0,155.0,75.0,5.0,16.0,184
89.0,164.0,255.0,158.0,134.0,75.0,103.0,3
196.0,36.0,73.0,178.0,213.0,161.0,60.0,232
220.0,103.0,69.0,89.0,192.0,46.0,119.0,66
221.0,87.0,71.0,242.0,213.0,68.0,215.0,63
10.0,217.0,137.0,14.0,54.0,110.0,109.0,143
139.0,50.0,229.0,0.0,192.0,64.0,38.0,8
46.0,227.0,227.0,9.0,34.0,52.0,73.0,58
244.0,129.0,135.0,32.0,76.0,129.0,156.0,8
110.0,17.0,99.0,13.0,102.0,96.0,28.0,186
27.0,114.0,213.0,11.0,60.0,154.0,20.0,65
38.0,201.0,65.0,111.0,127.0,210.0,150.0,102
118.0,185.0,44.0,114.0,125.0,141.0,103.0,89
184.0,139.0,224.0,48.0,76.0,124.0,188.0,163
